email;lastname;firstname;age;department
RBoolsen@phoenixcontact.com;Boolsen;Riane;40;Development
SVandrill@phoenixcontact.com;Vandrill;Silvanus;45;Process and IT Management
WTwaits@phoenixcontact.com;Twaits;Wang;47;Controlling
DCostar@phoenixcontact.com;Costar;Daryn;49;Controlling
MManston@phoenixcontact.com;Manston;Mathe;36;HR
DSpurway@phoenixcontact.com;Spurway;Delano;22;Purchase
DFriend@phoenixcontact.com;Friend;Derby;57;Quality
KBeddall@phoenixcontact.com;Beddall;Katya;17;Controlling
DLuscombe@phoenixcontact.com;Luscombe;Dolly;54;Controlling
OCarillo@phoenixcontact.com;Carillo;Ody;48;Quality
BFerro@phoenixcontact.com;Ferro;Billye;67;Quality
SSlamaker@phoenixcontact.com;Slamaker;Stanley;56;Quality
DMacKintosh@phoenixcontact.com;MacKintosh;Deina;18;Production
AKirmond@phoenixcontact.com;Kirmond;Anatollo;21;Process and IT Management
BDelia@phoenixcontact.com;Delia;Betti;17;Process and IT Management
JVials@phoenixcontact.com;Vials;Jacquenetta;28;Development
KGiamelli@phoenixcontact.com;Giamelli;Kesley;54;Development
MRhyme@phoenixcontact.com;Rhyme;Meier;23;Production
BTanswill@phoenixcontact.com;Tanswill;Brannon;44;Production
PPelfer@phoenixcontact.com;Pelfer;Petronille;55;Development
MAilmer@phoenixcontact.com;Ailmer;Moise;56;HR
FBarens@phoenixcontact.com;Barens;Felice;58;Development
GVan der Kruis@phoenixcontact.com;Van der Kruis;Gonzales;46;Engineering
VDe Morena@phoenixcontact.com;De Morena;Vassili;27;Development
WGreetham@phoenixcontact.com;Greetham;Wynnie;64;Process and IT Management
FZavattiero@phoenixcontact.com;Zavattiero;Fleur;51;Controlling
NHoulison@phoenixcontact.com;Houlison;Natasha;34;HR
FLarcher@phoenixcontact.com;Larcher;Frieda;48;Controlling
AClitsome@phoenixcontact.com;Clitsome;Ange;37;Process and IT Management
MTithacott@phoenixcontact.com;Tithacott;Mollie;40;Development
PBrugman@phoenixcontact.com;Brugman;Pierce;29;Production
VStranks@phoenixcontact.com;Stranks;Vidovic;62;HR
BCannaway@phoenixcontact.com;Cannaway;Baudoin;21;HR
DJantel@phoenixcontact.com;Jantel;David;51;HR
DBumphries@phoenixcontact.com;Bumphries;Daveta;35;Controlling
AAndric@phoenixcontact.com;Andric;Amory;59;Purchase
NTearny@phoenixcontact.com;Tearny;Norine;33;Process and IT Management
TDrowsfield@phoenixcontact.com;Drowsfield;Tatiania;64;Controlling
DWarbeys@phoenixcontact.com;Warbeys;Diandra;59;Development
CBagenal@phoenixcontact.com;Bagenal;Clemence;34;HR
BPalluschek@phoenixcontact.com;Palluschek;Branden;59;Purchase
BWeller@phoenixcontact.com;Weller;Brana;28;Engineering
WToffts@phoenixcontact.com;Toffts;Win;66;HR
DRaimbauld@phoenixcontact.com;Raimbauld;Demetris;39;Engineering
MHaggith@phoenixcontact.com;Haggith;Margret;50;Production
LQuig@phoenixcontact.com;Quig;Lucie;20;Controlling
LBoxill@phoenixcontact.com;Boxill;Livvie;45;Purchase
NBottomer@phoenixcontact.com;Bottomer;Niall;24;HR
VZanetto@phoenixcontact.com;Zanetto;Vasilis;57;Development
TMeany@phoenixcontact.com;Meany;Thatcher;30;Development
WHealing@phoenixcontact.com;Healing;Wandis;27;Production
JRupke@phoenixcontact.com;Rupke;Josey;51;Quality
MWoodroffe@phoenixcontact.com;Woodroffe;Miriam;51;Purchase
VHembrow@phoenixcontact.com;Hembrow;Valaree;37;Purchase
JVicarey@phoenixcontact.com;Vicarey;Jany;22;Production
CDevote@phoenixcontact.com;Devote;Catherina;50;Production
AOsselton@phoenixcontact.com;Osselton;Adam;66;Development
SBrosel@phoenixcontact.com;Brosel;Stacy;35;Controlling
RToe@phoenixcontact.com;Toe;Rafe;63;Production
LMeiner@phoenixcontact.com;Meiner;Lisetta;29;Quality
KEmanuel@phoenixcontact.com;Emanuel;Karoly;43;Production
BSowrah@phoenixcontact.com;Sowrah;Barde;46;Controlling
BWinterbotham@phoenixcontact.com;Winterbotham;Berthe;58;HR
JMcNess@phoenixcontact.com;McNess;Janith;51;Production
FKenealy@phoenixcontact.com;Kenealy;Fowler;50;Development
SPetett@phoenixcontact.com;Petett;Sibbie;52;Production
CMabbott@phoenixcontact.com;Mabbott;Chet;51;Process and IT Management
GScreaton@phoenixcontact.com;Screaton;Garrek;48;Controlling
